  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY/DRAGON MS(1)-0617 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -1.0786   0.19146   0.19018   0.0182   1.0000   0.0119
 -24.900  -1.0791   0.18968   0.18839   0.0169   1.0000   0.0119
 -24.800  -1.0817   0.18745   0.18614   0.0153   1.0000   0.0120
 -24.700  -1.0853   0.18504   0.18371   0.0136   1.0000   0.0120
 -24.600  -1.0912   0.18209   0.18074   0.0116   1.0000   0.0120
 -24.500  -1.0317   0.19367   0.19248   0.0189   1.0000   0.0120
 -24.400  -1.0271   0.19302   0.19183   0.0183   1.0000   0.0120
 -24.300  -1.0222   0.19244   0.19125   0.0178   1.0000   0.0120
 -24.200  -1.0170   0.19191   0.19073   0.0173   1.0000   0.0120
 -24.100  -1.0115   0.19147   0.19029   0.0169   1.0000   0.0120
 -24.000  -1.0056   0.19113   0.18996   0.0166   1.0000   0.0120
 -23.900  -0.9991   0.19093   0.18976   0.0163   1.0000   0.0120
 -23.800  -0.9922   0.19083   0.18967   0.0161   1.0000   0.0120
 -23.700  -0.9837   0.19110   0.18995   0.0161   1.0000   0.0120
 -23.600  -0.9718   0.19218   0.19105   0.0166   1.0000   0.0121
 -23.500  -1.5206   0.09192   0.08928  -0.0419   1.0000   0.0120
 -23.400  -1.5331   0.08881   0.08612  -0.0434   1.0000   0.0120
 -23.300  -1.5390   0.08673   0.08401  -0.0443   1.0000   0.0120
 -23.200  -1.5514   0.08365   0.08088  -0.0458   1.0000   0.0120
 -23.100  -1.5553   0.08183   0.07902  -0.0467   1.0000   0.0120
 -23.000  -1.5647   0.07918   0.07633  -0.0479   1.0000   0.0120
 -22.900  -1.5688   0.07736   0.07448  -0.0487   1.0000   0.0120
 -22.800  -1.5732   0.07549   0.07257  -0.0495   1.0000   0.0120
 -22.700  -1.5808   0.07316   0.07020  -0.0505   1.0000   0.0120
 -22.600  -1.5823   0.07172   0.06874  -0.0511   1.0000   0.0120
 -22.500  -1.5862   0.06997   0.06695  -0.0518   1.0000   0.0120
 -22.400  -1.5924   0.06789   0.06484  -0.0526   1.0000   0.0120
