  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY/DRAGON MS(1)-0617 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -20.000  -0.8912   0.04859   0.04534  -0.1608   0.8064   0.0158
 -19.900  -0.8765   0.04850   0.04524  -0.1624   0.8064   0.0158
 -19.800  -0.8612   0.04841   0.04514  -0.1641   0.8064   0.0159
 -19.700  -0.8458   0.04832   0.04504  -0.1659   0.8064   0.0159
 -19.600  -0.8310   0.04826   0.04498  -0.1674   0.8064   0.0159
 -19.500  -0.8166   0.04823   0.04494  -0.1688   0.8064   0.0159
 -19.400  -0.8022   0.04821   0.04491  -0.1701   0.8064   0.0159
 -19.300  -0.7877   0.04820   0.04489  -0.1715   0.8064   0.0159
 -19.200  -0.7733   0.04819   0.04488  -0.1728   0.8064   0.0159
 -19.100  -0.7590   0.04819   0.04487  -0.1741   0.8064   0.0159
 -19.000  -0.7446   0.04820   0.04487  -0.1754   0.8064   0.0159
 -18.900  -0.7301   0.04822   0.04488  -0.1767   0.8064   0.0159
 -18.800  -0.7157   0.04824   0.04489  -0.1780   0.8064   0.0159
 -18.700  -0.7013   0.04826   0.04491  -0.1793   0.8064   0.0160
 -18.600  -0.6867   0.04828   0.04492  -0.1806   0.8065   0.0160
 -18.500  -0.6721   0.04831   0.04494  -0.1819   0.8065   0.0160
 -18.400  -0.6573   0.04834   0.04497  -0.1833   0.8065   0.0160
 -18.300  -0.6423   0.04838   0.04500  -0.1846   0.8065   0.0160
 -18.200  -0.6275   0.04842   0.04504  -0.1860   0.8065   0.0160
 -18.100  -0.6132   0.04848   0.04509  -0.1872   0.8065   0.0160
 -18.000  -0.5992   0.04854   0.04515  -0.1883   0.8065   0.0160
 -17.900  -0.5853   0.04861   0.04521  -0.1893   0.8065   0.0160
 -17.800  -0.5714   0.04868   0.04528  -0.1904   0.8065   0.0160
 -17.700  -0.5575   0.04876   0.04535  -0.1914   0.8065   0.0161
 -17.600  -0.5437   0.04884   0.04543  -0.1924   0.8065   0.0161
 -17.500  -0.5299   0.04892   0.04551  -0.1934   0.8065   0.0161
 -17.400  -0.5161   0.04900   0.04559  -0.1944   0.8065   0.0161
 -17.300  -0.5024   0.04909   0.04568  -0.1954   0.8065   0.0161
 -17.200  -0.4888   0.04919   0.04577  -0.1963   0.8065   0.0161
 -17.100  -0.4703   0.04926   0.04584  -0.1985   0.8065   0.0211
 -17.000  -0.4559   0.04936   0.04596  -0.1997   0.8065   0.0222
 -16.900  -0.4414   0.04947   0.04607  -0.2009   0.8065   0.0231
 -16.800  -0.4269   0.04957   0.04619  -0.2020   0.8065   0.0240
 -16.700  -0.4125   0.04968   0.04632  -0.2031   0.8065   0.0247
