  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -29.500  -0.5899   0.30270   0.29820   0.0562   1.0000   0.0285
 -29.000  -0.5831   0.29727   0.29272   0.0535   1.0000   0.0299
 -28.500  -0.5764   0.29176   0.28717   0.0506   1.0000   0.0314
 -28.000  -0.5707   0.28666   0.28202   0.0475   1.0000   0.0324
 -27.500  -0.5643   0.28098   0.27632   0.0446   1.0000   0.0328
 -27.000  -0.5555   0.27507   0.27037   0.0422   1.0000   0.0340
 -26.500  -0.5477   0.26972   0.26497   0.0395   1.0000   0.0357
 -26.000  -0.5409   0.26460   0.25981   0.0365   1.0000   0.0376
 -25.500  -0.5378   0.26096   0.25616   0.0328   1.0000   0.0382
 -25.000  -0.5251   0.25347   0.24862   0.0312   1.0000   0.0395
 -24.500  -0.5162   0.24821   0.24333   0.0287   1.0000   0.0413
 -24.000  -0.5083   0.24310   0.23818   0.0259   1.0000   0.0434
 -23.000  -0.4922   0.23252   0.22756   0.0206   1.0000   0.0461
 -22.500  -0.4826   0.22741   0.22241   0.0182   1.0000   0.0483
 -22.000  -0.4749   0.22266   0.21763   0.0154   1.0000   0.0509
 -21.500  -0.4782   0.22177   0.21672   0.0111   1.0000   0.0521
 -21.000  -0.4582   0.21231   0.20724   0.0104   1.0000   0.0537
 -20.500  -0.4477   0.20739   0.20229   0.0082   1.0000   0.0570
 -20.000  -0.4447   0.20423   0.19911   0.0048   1.0000   0.0602
 -19.500  -0.4393   0.19938   0.19426   0.0021   1.0000   0.0612
 -19.000  -0.4226   0.19280   0.18765   0.0010   1.0000   0.0638
 -18.500  -0.4137   0.18826   0.18309  -0.0012   1.0000   0.0676
 -18.000  -0.4270   0.18940   0.18422  -0.0058   1.0000   0.0704
 -17.500  -0.3991   0.17887   0.17367  -0.0058   1.0000   0.0732
 -17.000  -0.3893   0.17431   0.16909  -0.0076   1.0000   0.0774
 -16.500  -0.4000   0.17387   0.16865  -0.0116   1.0000   0.0812
 -16.000  -0.3814   0.16570   0.16047  -0.0124   1.0000   0.0835
 -15.500  -0.3686   0.16092   0.15567  -0.0134   1.0000   0.0892
 -15.000  -0.3942   0.16268   0.15744  -0.0175   1.0000   0.0935
 -14.500  -0.3640   0.15249   0.14724  -0.0173   1.0000   0.0967
 -14.000  -0.3566   0.14832   0.14305  -0.0182   1.0000   0.1024
